Query Description,ProblemStatement,Closure Comment,InternalRCA
Issue with Initiation Agent,"We are using an initiation agent utility not running it through ofservices and not through any msgraph.ini configuration. The utility was working fine in UAT but it's not working in Production showing an error Exception :java.lang.NumberFormatException: For input string: ""//mail.ubagroup.com/EWS/Exchange.asmx""for user account: docflow@ubagroup.com

java.lang.NumberFormatException: For input string: ""//mail.ubagroup.com/EWS/Exchange.asmx""
	at java.lang.NumberFormatException.forInputString(Unknown Source)
	at java.lang.Integer.parseInt(Unknown Source)
	at java.lang.Integer.parseInt(Unknown Source)
	at com.newgen.omni.wf.initiation.WFMailDownloadIMAP.connect(WFMailDownloadIMAP.java:96)
	at com.newgen.omni.wf.initiation.InitiationUtility.isLocalMailsExist(InitiationUtility.java:3697)
	at com.newgen.omni.wf.initiation.InitiationUtility.getNextWorkItem(InitiationUtility.java:338)
	at com.newgen.omni.wf.util.app.ServiceFramework.executeBusinessLogic(ServiceFramework.java:119)
	at com.newgen.omni.wf.util.app.AbstractApplication.startme(AbstractApplication.java:311)
	at com.newgen.omni.wf.initiation.NGWFInitiation.main(NGWFInitiation.java:38)
. We can arrange a Teams meeting to showcase the issue we are facing","As discussed, .netframework was of older version and dlls are also not deployed. After upgrading.netframework to 4.8 and deploying the dependency dlls, issue is resolved.","As discussed, .netframework was of older version and dlls are also not deployed. After upgrading.netframework to 4.8 and deploying the dependency dlls, issue is resolved."
Facing issue in NIPLJ jar on Prod.,,"NIPLJ.decodeToImage() is proving image object as expected on the shared Jpegs.
sample driver used at my end and  FTP details of latest NIPLJ.jar is shared over email.",
Not able to generate template on UAT,,"Document has been shared over teams .Please follow it and check all the configurations.
It seems the issue of OpenOffice verify it by successfully running telnet command.","Document has been shared over teams .Please follow it and check all the configurations.
It seems the issue of OpenOffice verify it by successfully running telnet command."
Special Character are converting into ASCII char.,We have upgraded our env from iBPS 5.0 SP1 to iBPS 5.0 SP3. We have noticed that the Special character are converting into ASCII character in txt format reports only. If we download the report in any other format it's showing correct value. We have checked the value store in the DB is also correct. earlier it was happening in ifrom due to a sanitize function of JavaScript. We have resolved that issue with the help of product team but now the same issue is happening in txt format BAM reports.,"provided user a temporary solution, will provide user a latest hotfix iBPS5SP3_00_015",code fix
INITIATION AGENT WORKITEM NOT GETTING CREATED,I have deployed IBPS SP1 Patch 2 hotfix 93 for Microsoft Authentication of Initiation Agent service. But WI is still not getting created.,"As checked, same guava jar was deployed with two different versions due to which ambiguity were coming in loading the jar. After removing one guava jar with older version and taking server restart, issue is resolved.","As checked, same guava jar was deployed with two different versions due to which ambiguity were coming in loading the jar. After removing one guava jar with older version and taking server restart, issue is resolved."
Issue in PL process,,"New ticket  for UAT environment  has been raised for the same for  OFservice_web module . 

Ticket number : 283303",
Unable to import the tables into MDM,,"Resolved by increasing ""MaxTableNameLength"" in cfconfig.ini.",
Unable to call JSP on custom JS function,whitelist issue,PFA in mail for the whitelist issue and if you will face any challenge you can connect with me.,Code fix
Workstep not Updating...,,Object Rights were not present on Queue,Object Rights were not present on Queue
query regarding setting filters on queue,,PFA in the mail for the reported query.,
In Portal Accident Details journey blank,Customer portal accident details journey blank when we click on checkbox custom validation,Please deploy hotfix IBPS5.3.0_134,IBPS5.3.0_134
Facing issue While routing workitem.,,"As discussed please check all the routing condition along with the PFE logs and condition applied, If it is routing to another workstep it means it is fetching any condn be it routing or entry setting rules.","As discussed please check all the routing condition along with the PFE logs and condition applied, If it is routing to another workstep it means it is fetching any condn be it routing or entry setting rules."
Data is not fetching from the view,,Client has change procedure. Kindly revert back the changes.,
User unable to view the custom jsp,,Closing the production ticket due to late response.,
Data Not Visible under queue level,Workitem data (search variables) not being displayed for certain workitems on Omniapp when WMFetchWorklist API is called.,"As discussed, when WI is being routed from Decision workstep to Indexing, update queries being run from custom procedure are still executing by the time the PS is executing entry-settings of Indexing WS. Kindly check why this is so and make changes in procedure accordingly.","As discussed, when WI is being routed from Decision workstep to Indexing, update queries being run from custom procedure are still executing by the time the PS is executing entry-settings of Indexing WS. Kindly check why this is so and make changes in procedure accordingly."
AdminLogin on SP2 base version Portal,,Closin this query as release is not required as same support already available in SP3 and Customer is proceeding with SP3,
Not able upload document in omniapp,,"As discussed, Volume was different in omniDocs and omniapp after modifying the changes in omnidocs, now it is working fine.

Note: Site and Volume should be same in omnidocs and omniaap.",
Unable to get onClickTabByName on tabclick.,Bug 133567 - onClickTabByName hook is not getting called when get data on demand set yes on tab property,Please deploy hotfix IBPS5.3.0_134,IBPS5.3.0_134
Automatic conversion of email from.eml to .mht,Automatic conversion of Emails from .eml to .mht is happening at product end through initiation agent.,As discussed its already handled in latest version .So kindly upgrade to iBPS5.0Sp3 . For now kindly share  initiationAgent.jar .,As discussed its already handled in latest version .So kindly upgrade to iBPS5.0Sp3 . For now kindly share  initiationAgent.jar .
Unable to copy content of textfield.,"Hi team,
We have upgraded from omniflow 10.3 to IBPS 5 SP3, we are unable to copy the content of textfield ,even after selecting copy property - ""true""
inside form field property, but same functionality is wroking fine in Omniflow Also attached the screenshot for your reference,Kindly Suggest","Issue resolved after guiding client to set enable= false for the readonly fields, so that the value can be selected and copying is allowed.",
Unable to open processes,"Not able to check-in, checkout and open the process.","User was not able to open the processes from process designer due to the bianries values in activity Icon column in activity table. So for process open issue, we have updated code and provided the hotfix.
Also, user was not able to checkout and check-in the processes which have Archive activities in it because of the wrong IPAddress and portid values in the Archive table. For check-in and checkout issue we exported the process and updated the correct IP Address and portId in PMWArchiveTable.XML file and imported it again. Now user is able to open the process, check-in and checkout the process.

FTP path: OmniRules/public_html/IBPS 5.X/iBPS 5.0 SP3/Patches & Hotfixes/iBPS_5.0_SP3_00_017","User was not able to open the processes from process designer due to the garbage values in activity Icon column in activity table. Also, not able to checkout and check-in the processes which have Archive activities in it because of the wrong IP Address and portid values in the Archive table."
Not able to access User Rights Management section.,,"Ofserver logs are not attached and also L1 analysis is not done.Kindly raise a new ticket as a defect with proper logs and analysis.
Please, help us understand the issue by reporting the issue with proper data. For faster issue resolution, each of the CQRN should have the following information in detail:
1. Proper self-explanatory issue description.
2. Screenshots supporting the reported issue.
3. Relevant application and Module logs specifying the error.
4. Proper L1 analysis
5. Proper information related to Product and Hotfix that are deployed.
6. Proper contact information, so that person can be contacted if required.","Ofserver logs are not attached and also L1 analysis is not done.Kindly raise a new ticket as a defect with proper logs and analysis.
Please, help us understand the issue by reporting the issue with proper data. For faster issue resolution, each of the CQRN should have the following information in detail:
1. Proper self-explanatory issue description.
2. Screenshots supporting the reported issue.
3. Relevant application and Module logs specifying the error.
4. Proper L1 analysis
5. Proper information related to Product and Hotfix that are deployed.
6. Proper contact information, so that person can be contacted if required."
Cabinet Creation reference and troubleshooting doc,,Provided the document.,Provided the document.
Comments is getting mandatory in doclist,,"As discussed custom code making comments mandatory while moving bck on the portal. We can not use setStyle API to make docliist mandatory at run time. However, you can use the removeDocTypeFromDoclist function to remove the doctype, and then use the addDataToDoclist function with the mandatory attribute set in JSON at run time.",
node getting down issue,,"As per the attached screenshot, Out of memory happened, so kindly allocate more memory to jboss.","As per the attached screenshot, Out of memory happened, so kindly allocate more memory to jboss."
LDAP logs are consuming more space,,These are not ldap logs.Its weblogic domain logs hence not the product issue.,
BAM Report Rights throws error for report search,,"As checked the crrights jar that was used was not latest according to the version. provided user the latest crrights.jar, now the issue is resolved",
Dynamic Allocation On or Off control to Admin,"With Dynamic Allocation, admin need to have provision to include or exclude the user for further allocation but the existing allocated case will remain same",As discussed required functionality is not there in  iBPS .,As discussed required functionality is not there in  iBPS .
Process Server not working.,,"Neither the relevant logs nor the analysis is attached.
Please raise a new ticket with all the analysis and logs.","Neither the relevant logs nor the analysis is attached.
Please raise a new ticket with all the analysis and logs."
Error while sending mail with attachments,"Unable to initiate mail using PFE service. Getting error, 'java.lang.StringIndexOutOfBoundsException: String index out of range: -199'.","As checked, incorrect template format was present for Message Tag of WFGetExternalData (&CONST_Email1). Also, document was not attached with WI, which is why they are not getting attached with mail.","As checked, incorrect template format was present for Message Tag of WFGetExternalData (&CONST_Email1). Also, document was not attached with WI, which is why they are not getting attached with mail."
Not able to view the Instanid mapping on export,We are not able to see instance id mapping on export work steps. IBPS version: iBPS_5.0_SP1_00_000,"As checked the issue is occurring because the redistricted field ""PROCESSINSTANCEID"" is present inside the export table column, and comes through the upgradation. A similar issue which has already fixed in the CQRN-0000281678 for getting an issue while mapping the external table. So we have suggest to replace all the instances of that restricted field with the allowable field from the entire process and do all the needful mapping again.","As checked the issue is occurring because the redistricted field ""PROCESSINSTANCEID"" is present inside the export table column, and comes through the upgradation. A similar issue which has already fixed in the CQRN-0000281678 for getting an issue while mapping the external table. So we have suggest to replace all the instances of that restricted field with the allowable field from the entire process and do all the needful mapping again."
Alignment of Column header and column data is not,There is a mismatch in alignment of Column header and column header in a table if we choose alignment as Left. Attached the screenshot for reference.,Please deploy IBPS5.3.0_130.,Bug 133449 - Table header was misaligned when the column alignment is set to the left.
Unable to installl app on local device,,"User cannot install the app directly using distribution certificate from XCode.
Required steps have been shared over teams with Disha Sharma",
Java upgrade feasibility with iBPS 5 SP2.,"SMS/wrapper utilities are on seperate sever not on same server where OD/ibps is installed, please confirm still JRE 11 not supported?",Required document has been shared over mail kindly follow the document,Required document has been shared over mail kindly follow the document
Ofservices are not getting started.,,"As discussed issue is not clear as no logs are updated.Please follow the NGLogsGeneration document and follow the recommended steps to get it updated.
Then analyse the case and raise a new ticket with all the logs .","As discussed issue is not clear as no logs are updated.Please follow the NGLogsGeneration document and follow the recommended steps to get it updated.
Then analyse the case and raise a new ticket with all the logs ."
unable to adjust the column in the grid,unable to adjust the column in the grid when we Increase/decrease the pixels or percentage in the column of the grid,"PLease deploy below hotfix:
https://ftp.newgen.co.in/~OmniRules/IBPS%205.X/iBPS%205.0%20SP2/Patches%20&%20Hotfixes/Specific_Hotfixes/IBPS5.2.1_274/",It was fixed already in SP3. Just took same changes in SP2
Mailing agent throwing error,"Mailing agent is not able to deliver emails when mailFrom is 'FLUENTPCMSUATNOTIFICATIONS@FLUENT.COM'. We can see the following error in logs

554 MESSAGE REJECTED: EMAIL ADDRESS IS NOT VERIFIED. THE FOLLOWING IDENTITIES FAILED THE CHECK IN REGION US-EAST-1: FLUENTPCMSUATNOTIFICATIONS@FLUENT.COM

The logs are attached with the ticket as well","As discussed, the mail is not verified at their mail server end or restricted, needs to connect with mail server team at client end for this issue. Also refer the below mentioned URL:
https://repost.aws/knowledge-center/ses-554-400-message-rejected-error","As discussed, the mail is not verified at their mail server end or restricted, needs to connect with mail server team at client end for this issue. Also refer the below mentioned URL:
https://repost.aws/knowledge-center/ses-554-400-message-rejected-error"
form is not opening on the app,,"Refused to display 'iformimpl/components/viewer/viewform.jsp' in a frame because it set 'X-Frame-Options' to 'SAMEORIGIN'.
SameOrigin Xframe value does not work for mobile
Change value of 'X-Frame-Options' from 'SAMEORIGIN' to either ""http://IP:PORT/"" or *    inside iformimpl web.xml",
Java upgrade feasibility with iBPS 5 SP2.,"Bank is planning to replace existing Oracle Java (JRE /JDK) with Red Hat open-source Java version java-11-openjdk-jre-11.0.19.7-1.windows.redhat.x86_64. Kindly,  explain the roadmap to support websphere  on  jre11.",Required document has been shared over mail kindly follow the document.,Required document has been shared over mail kindly follow the document.
Group created not visible on UI.,"I created a group by using rights management in the business admin on omniapp. it is not visible in the UI.
I am using iBPS 5 SP3.","In latest versions only those user and Groups will be visible whose parent Group are same . So, kindly change or choose the parent group accordingly wile creating user. Ex-- User U1 whose parentGroup is Everyone then U1 can see only those users whose's parentGroup is Everyone on UI. For old user and group kindly update parentGroup still have any issue connect me over teams.","In latest versions only those user and Groups will be visible whose parent Group are same . So, kindly change or choose the parent group accordingly wile creating user. Ex-- User U1 whose parentGroup is Everyone then U1 can see only those users whose's parentGroup is Everyone on UI. For old user and group kindly update parentGroup still have any issue connect me over teams."
JPG files are not showing in IMG tag,Need to show the jpg images in a listview column,We have support of image in normal table but the same feature is not available in listview control. And as checked you have manipulated iform html content as per your requirement so kindly get this checked at your end for jpg images.,
Document not uploading,,"As checked and discussed over teams , now able to upload document. Pls check the custom code in getdoctypelistext function in client.js if unable to upload the document.",
Need a loader/please wait option on button click,"On clicking button for first time, a loader or please wait screen should appear. Once the whole functionality is executed of that button then only we can click on the button again.",Use CreateIndicator() to show loader and RemoveIndicator(); to remove loader.,
Initiation agent not working,"We are using an initiation agent through a utility service and not through any msgraph.ini configuration. The utility was working fine previously but suddenly stopped working, showing an error of reconnection failed. We can arrange a Teams meeting to showcase the issue we are facing",Client resolved at own.,Client resolved at own.
Query - WFSSelectWithColumnNames api,,"Duplicate constraints are present in ""EXTMETHODPARAMDEFTABLE"" table. Removed duplicate constraints.",
Unable to load OmniApp,,iBPS 5.0 SP3 Manual deployment guide provided to the user for manual deployment of applications on WAS console.,
Reassign and Allocate Workitem for specific User,,issue resolved at client's end.,
General Application Security Checklist for IBPS,,Security Report is not attached. Raise a separate ticket with complete Security Report,
issue in adding data in grid coming on Tabclick,After opening the Workitem....Issue in adding data in grid coming on TabClick.,Custom code issue. Issue resolved.,
Need to know the impact of sql query in AWR report,,"As discussed please attach HMT report and check the all the findings 
Raise a new ticket with clean  HMT report.","As discussed please attach HMT report and check the all the findings 
Raise a new ticket with clean  HMT report."
Unable to trigger CustomBean,,"As discussed, ext method is getting executing, kindly check the custom method","As discussed, ext method is getting executing, kindly check the custom method"
office 365 with modern auth,For this client we deployed the https://ftp.newgen.co.in/~OmniRules/iBPS%204.X/iBPS%204.0/Patches%20&%20Hotfixes/iBPS%204.0%20SP0_04_103 fix. For testing purpose we given the wrong secret key in the ini file. And we start the Mailing agent utility and is still working with wrong configuration,"As discussed, Mailing Agent is always running in basic authentication as per the logs. Also checked, PSID is configured wrong in MSGRaph.ini file. So, it can not be run with modern. There on one more point, if Mailing Agent is working fine with basic then why there is requirement to deploy modern authentication release?","As discussed, Mailing Agent is always running in basic authentication as per the logs. Also checked, PSID is configured wrong in MSGRaph.ini file. So, it can not be run with modern. There on one more point, if Mailing Agent is working fine with basic then why there is requirement to deploy modern authentication release?"
Function to call on load of interface & widget,"In the portal application, our requirement is to call the custom js function on the formload of the second interface and on the load of particular widget. Please advise the function where we can call the custom function to achieve this.",Please use formload method on first interface and stepLoadPostHook on second interface onwards as per your requirement.,
form not imported.,"issue while uploading Iforms.
showing only black screen while uploading forms. (export from sp3 version and imported in sp2).",As checked client was not able to import form that is because they haven't deployed ngfileupload.war on server. After doing the same it is working fine.,As checked client was not able to import form that is because they haven't deployed ngfileupload.war on server. After doing the same it is working fine.
addDataToGrid Not working properly,,"Workaround to match business usecase:
Keep initially expanded the section and collapsed it in javascript via formLoad function.",
Process getting errored out in ofservices.,,"As discussed the case was resolved by reporter itself and working fine now.
The issue was with external tables entries.","As discussed the case was resolved by reporter itself and working fine now.
The issue was with external tables entries."
Getting error while exporting rulepackage,We are currently using iBPS_5.0_SP2_00_000. While trying to export a rule package we are getting a text file named error containg message 'Export failed! could be due to invalid rule(s)' but all the rules are running while testing from Business Rule Managerment interface in IBPS.,"one rule was invalid in rule package, after making it valid rule got exported successfully",
perform risk analysis,Internally resolved us. By changing the variable set IsEncryptedAttributeXml=Y in webdesktop.ini,Internally resolved us. By changing the variable set IsEncryptedAttributeXml=Y in webdesktop.ini,
customer branding guidlines in omniapp dashoard,,Pls refer the attahched document for themes.,
Custom jsp is not loading in View.,,This is custom code issue please check at your own end.,
"The child workitem are opening in ""Read Only Mode""",,"Ofserver logs are not attached and also L1 analysis is not done.Kindly raise a new ticket as a defect with proper logs and analysis.
Please, help us understand the issue by reporting the issue with proper data. For faster issue resolution, each of the CQRN should have the following information in detail:
1. Proper self-explanatory issue description.
2. Screenshots supporting the reported issue.
3. Relevant application and Module logs specifying the error.
4. Proper L1 analysis
5. Proper information related to Product and Hotfix that are deployed.
6. Proper contact information, so that person can be contacted if required.","Ofserver logs are not attached and also L1 analysis is not done.Kindly raise a new ticket as a defect with proper logs and analysis.
Please, help us understand the issue by reporting the issue with proper data. For faster issue resolution, each of the CQRN should have the following information in detail:
1. Proper self-explanatory issue description.
2. Screenshots supporting the reported issue.
3. Relevant application and Module logs specifying the error.
4. Proper L1 analysis
5. Proper information related to Product and Hotfix that are deployed.
6. Proper contact information, so that person can be contacted if required."
changing DOM prop on tab click,"Default value for a dropdown is 'Select'. We need to change it to an empty string for the combo box inside a table cell. I am modifying innerHTML for the dropdown value on tabClick function, but for the first time it is not working. From second time onwards, the changes are reflected properly. Please advice on the same.",Duplicate ticket of CQRN-0000282121,Duplicate ticket of CQRN-0000282121
Please provide us Health Monitoring tool setup.,"Our environment details is as below:
OS: RHEL 8.7
App server: Weblogic
Databse: Oracle",Please find the HMT setup shared.,
Regarding Delegating access of different queue,,Security Report is not attached. Raise a separate ticket with complete Security Report,
need the major operations badmin user can perform,,All admin operations can be performed by badmin,
I need to implement 10 sec of loader on iform.,"I need to implement 10 sec of loader on iform, on click of a specific button. how can i implement the 10 sec of loader on form

is there any product loader present so that i can implement it  please advise.",Use CreateIndicator() to show loader and RemoveIndicator(); to remove loader.,
Tracks are not getting generated.,,"No screenshot is attached in the helpdesk ticket, also incorrect logs are attached. What error is coming on click New Button of workitem generation? Share L1 analysis which API is failing or any error in Developer tools.

Raise helpdesk tickets with proper details and analysis.",
Special Character Issue,"Custom validation is not working when we enter special characters in text field. Also, action history is not populating.",Whitelisting 403 issue. Issue resolved after adding the parameter name in the ngformview.app.xml file.,
Can we pass group name to WFAddToMailQueue API,We need to send mail to all the users of any particular group by passing group name in ToMail tag of WFAddToMailQueue API. Is there any way to do the same ?,"As discussed, there is a functionality of using the group name in mailTo. Mailing Agent will read the group name from WFMailQueueTable and send the mail on all the users' mail id addes in specific group.","As discussed, there is a functionality of using the group name in mailTo. Mailing Agent will read the group name from WFMailQueueTable and send the mail on all the users' mail id addes in specific group."
can we map reports primary DB to staging DB.,,"As discussed, the solution is possible from ui only, the user need to mark the checkbox.",
Unable to generate the template.,,"As discussed, please provide the rights of that doctype on query_workstep from process designer and check.",
Save Mapping for configure view not working,,Whitelisting issue,
Not able to export BRMS rule,"Not able to export BRMS rule getting Exception in error log ""com.newgen.omni.br.txn.wapi.BRExportRulesetBean.BRExportRuleset(BRExportRulesetBean.java:419)""",isvalid flad in brruledatatable,isvalid flad in brruledatatable
Unable to Generate for Web Server.,We have upgraded our env from iBPS 5.0 SP1 to iBPS 5.0 SP3. We are unable to generate report for Web Server. While generating report it is showing error in generating report.,Client is not available to discuss the issue.,
"Regarding to the ""All"" functionality in BAM Report",,Told about 'All' option and asked to create a procedure for using it.,
"Need to restrict ""New"" option in document upload",,"As discussed, please return true for this function disableNewBtnIfDocPresent in client.js and check.",
Error in user creation,,"Please use another username for creating user as currently used username is already occupied in PDBFolder entries, due to which unique constraint of index is violating.",
"User getting ""Error fetching data!"" alert.",,"As issue is replicable on lower environment other than production, kindly register ticket for the same for further discussion.",
Error in WFFetchWorklist.,"On clicking on certain queues with filter attached to groups, we get an error saying 'The requested filter is invalid'.",Provided the updated procedure.,Provided the updated procedure.
BAM - Icon Loading Issue,Icons were not visible after unblocking.,Gave hotfix  iBPS_5.0_SP2_01_032 for icons not visible issue.,Codefix was required.
Unable to Reassign the multiple case.,,"As discussed over teams, In iBPS5 SP3, We can reassign the same activity workitems at a time. We cannot reassign two or more activity workitems at a time.",
Server error in opening IForm Table,Server error in opening IForm Table,"CSRF_mode for WAR and ini were not matching , changed the flag status to ON at both locations.",CSRF_mode for WAR and ini were not matching.
Cannot view Rights Management in Business Admin,,Issue resolved at client's end.,
How to view the document on button click as pop up,,Query is not clear. Also no screenshot is attached. Pls raise a separate ticket with query explanation and screenshots attached.,
When upgrading cabinet facing error in procedure,,Client has resolved at their end.,
Workitem is not opening properly.,,"As discussed, in error logs it is clearly mentioned 
INVALID IDENTIFIER. Kindly check this at your end, custom table column is missing.",
All pages of PDF are not opening at once,"After the deployment of hotfix for microsoft graph initiation and mail patch, for viewing the pdf documents attached we have to click on next button for moving onto the next page however before this hotfix we only need to scroll down and all the pages are displayed at once.","As discussed, fix was already provided in the past and once it is deployed, issue is resolved. So, there is no issue for now. Hence, closing the ticket.","As discussed, fix was already provided in the past and once it is deployed, issue is resolved. So, there is no issue for now. Hence, closing the ticket."
Mailing Agent Service is Stopped,"As per the hotfix iBPS 4.0 SP0_04_103 provided with respect to CQRN-0000278994  , we have implemented all the required steps  as TLS1.2 enable in system, Java version is  jdk1.8.0_131 and also required integration with respect to Azure App Registration have been completed successfully. But Mailing Agent service is not working under ofservices.","As discussed, firstly the incorrect configuration was done in MSGraph.ini file due to which Mailing Agent was not able to start with modern authentication. After correcting the configuration and taking server restart, new issue is coming as ""ErrorAccessDenied, OtData is disable"" which means the email Id does not have rights to access mailbox, send and read mails through MS Graph API. Kindly refer the 'Azure App Registration.pdf' guide shared with hotfix and do provide the all rights mentioned in the document through azure portal and then verify, the issue would be resolved.

Kindly connect in case of any queries.","As discussed, firstly the incorrect configuration was done in MSGraph.ini file due to which Mailing Agent was not able to start with modern authentication. After correcting the configuration and taking server restart, new issue is coming as ""ErrorAccessDenied, OtData is disable"" which means the email Id does not have rights to access mailbox, send and read mails through MS Graph API. Kindly refer the 'Azure App Registration.pdf' guide shared with hotfix and do provide the all rights mentioned in the document through azure portal and then verify, the issue would be resolved.

Kindly connect in case of any queries."
NOT able to perform addDataToGrid and set value.,NOT able to perform addDataToGrid and set value.,"Follow the be format to use addDataToGrid() and make sure that JSON Array log is printed to ensure that control is going in java end -
if(""addDataToGrid222"".equals(eventType)){
            JSONArray jsonArray = new JSONArray();
            JSONObject obj = new JSONObject();
            obj.put(""c1"", ""99999"");
            obj.put(""c2"", ""88888"");
            jsonArray.add(obj);
            ifr.addDataToGrid(""DocViewerID2"", jsonArray);

            return jsonArray.toString();
        }",
Need to Highlight Work Item using Color Indication,,"Highlighting or colour coding is not allowed on search. 

It is allowed only when click on queue.",
Issue in extracting app server report.,"We are getting ""java.io.FileNotFoundException: http://10.0.90.152:9190/HealthMonitoringAgent/servlet/HealthCheckAgent"" exception in the error logs of the HMT while fetching app server report in HMT. PFA of the logs. Please help in resolving the issue.",App server report is not supported in case of clustered App server.,
Query on Unable to search report from SearchBar.,,suggested the user to use astrik,
Blank page open on WS properties,"we upgraded our cabinet from ibps4.0 to ibps 4 sp1 patch2
now when we try to open properties of Work step or try to export the route or try to open any options from options or tools list we are getting blank page.
nothing specific comes on pmweb logs:

java.lang.StringIndexOutOfBoundsException: String index out of range: 17
	at java.lang.String.substring(String.java:2684)
	at com.newgen.omni.pm_Web.exportImport.PMWTable.generateSpecificSelectCode(PMWTable.java:396)
this comes when try to export the route but nothing comes on front end
we are able to checkin or checkout the route and everything working fine on UAT.","While exporting process getting error, as checked export was working fine with some shared changes on UAT so client has used the same pmweb_ejb jar now it is working fine. Also after clean up restart activity properties are getting open fine.","While exporting process getting error, as checked export was working fine with some shared changes on UAT so client has used the same pmweb_ejb jar now it is working fine. Also after clean up restart activity properties are getting open fine."
Bulk done with comments popup,,This is not feasible in ibps,
Queue display in workspace descending order,,"Queue display in descending order:

1. Click on the Omniapp Configuration.

2. Click on the component Instances.

3. Click on the queue management and queuelist checkbox(For User desktop view) and Workitem List* for badmin view.

4. Click on the modify and go to the inputs and output options.

5. In inputs tab and output tabs set SortOrder flag as descending.(Kindly refer the attached screenshot)

6. Click on Update and clear the browser chache and check.",
Route check in issue,,"As checked issue was coming because SystemSharePointQueue queue was not present in database which gets deploy during upgradation itself, through upgrade scripts.
Either the upgradation was not successful or someone would have deleted this queue from the table.
For now it is resolved by altering the SystemSharePointQueue in queuedeftable.","As checked issue was coming because SystemSharePointQueue queue was not present in database which gets deploy during upgradation itself, through upgrade scripts.
Either the upgradation was not successful or someone would have deleted this queue from the table.
For now it is resolved by altering the SystemSharePointQueue in queuedeftable."
Changing default value of iform dropdown,,"They should call their custom code inside function onClickTab(tabid,sheetIndex)",Query related to OnTabClick
Want to remove more options 3 dot,,Config has been shared.,
